target_present,target_absent,target_radius_px,target_xcoord_px,target_ycoord_px
010_L_filler_present_candle.jpg,010_L_filler_absent_candle.jpg,11.507254783503184,-405.0,13.0
012_R_filler_present_tubaccesory.jpg,012_R_filler_absent_tubaccesory.jpg,9.949591680222808,170.0,-152.0
013_R_filler_present_lamp.jpg,013_R_filler_absent_lamp.jpg,20.41243838973144,287.0,147.0
015_R_filler_present_ceilinglight.jpg,015_R_filler_absent_ceilinglight.jpg,18.592593589803354,368.0,257.0
01_R_filler_present_mirror.jpg,01_R_filler_absent_mirror.jpg,32.32663540087933,67.0,108.0
020_L_filler_present_walldeco.jpg,020_L_filler_absent_walldeco.jpg,35.174856468739065,-492.0,206.0
022_R_filler_present_lamp.jpg,022_R_filler_absent_lamp.jpg,52.8594757912081,155.0,290.0
023_R_filler_present_remote.jpg,023_R_filler_absent_remote.jpg,33.70058862844632,172.0,-335.0
024_R_filler_present_towels.jpg,024_R_filler_absent_towels.jpg,36.16098743733379,81.0,-260.0
026_L_filler_present_rack.jpg,026_L_filler_absent_rack.jpg,33.87017611123954,-418.0,-47.0
027_R_filler_present_soapdish.jpg,027_R_filler_absent_soapdish.jpg,19.007412259921193,457.0,-38.0
029_R_filler_present_glass.jpg,029_R_filler_absent_glass.jpg,22.92443286298351,233.0,-24.0
02_L_filler_present_napkin.jpg,02_L_filler_absent_napkin.jpg,37.180906870276885,-104.0,-245.0
030_L_filler_present_drawer.jpg,030_L_filler_absent_drawer.jpg,31.24510235101953,-126.0,-98.0
034_R_filler_present_handle.jpg,034_R_filler_absent_handle.jpg,20.12188299403865,362.0,-116.0
035_R_filler_present_fruit.jpg,035_R_filler_absent_fruit.jpg,17.688940559532284,300.0,-53.0
038_L_filler_present_art.jpg,038_L_filler_absent_art.jpg,60.81743892548952,-46.0,129.0
039_L_filler_present_ventilator.jpg,039_L_filler_absent_ventilator.jpg,39.902206088026276,-73.0,314.0
041_L_filler_present_fruit.jpg,041_L_filler_absent_fruit.jpg,32.27243324562564,-431.0,-140.0
042_R_filler_present_tap.jpg,042_R_filler_absent_tap.jpg,24.695783889727878,29.0,45.0
043_R_filler_present_clock.jpg,043_R_filler_absent_clock.jpg,18.30793025307699,187.0,58.0
046_L_filler_present_remote.jpg,046_L_filler_absent_remote.jpg,11.11324596323283,-56.0,-106.0
049_R_filler_present_painting.jpg,049_R_filler_absent_painting.jpg,35.296811393146506,292.0,187.0
04_L_filler_present_electricalgrid.jpg,04_L_filler_absent_electricalgrid.jpg,61.43711118182063,-170.0,336.0
050_R_filler_present_book.jpg,050_R_filler_absent_book.jpg,28.757070162057335,349.0,299.0
053_L_filler_present_handle.jpg,053_L_filler_absent_handle.jpg,21.424351935986913,-259.0,-120.0
054_L_filler_present_firewood.jpg,054_L_filler_absent_firewood.jpg,46.11538083539922,-472.0,-110.0
055_L_filler_present_carpet.jpg,055_L_filler_absent_carpet.jpg,39.9699552008311,-131.0,-233.0
057_L_filler_present_bin.jpg,057_L_filler_absent_bin.jpg,15.159806655254442,-106.0,-142.0
058_L_filler_present_clutch.jpg,058_L_filler_absent_clutch.jpg,27.495199211616978,-210.0,-196.0
059_L_filler_present_car.jpg,059_L_filler_absent_car.jpg,22.504022505285825,-153.0,134.0
05_R_filler_present_mirror.jpg,05_R_filler_absent_mirror.jpg,55.75780356467679,281.0,33.0
060_R_filler_present_pillow.jpg,060_R_filler_absent_pillow.jpg,17.706926268865352,92.0,-57.0
065_R_filler_present_cd.jpg,065_R_filler_absent_cd.jpg,20.12188299403865,234.0,89.0
066_L_filler_present_vase.jpg,066_L_filler_absent_vase.jpg,22.068396540328884,-400.0,124.0
069_R_filler_present_things.jpg,069_R_filler_absent_things.jpg,27.37337158766971,414.0,197.0
06_R_filler_present_vase.jpg,06_R_filler_absent_vase.jpg,24.862779389459288,209.0,-2.0
070_L_filler_present_lamp.jpg,070_L_filler_absent_lamp.jpg,49.11042666903416,-412.0,153.0
072_R_filler_present_handle.jpg,072_R_filler_absent_handle.jpg,22.305119414727752,364.0,-299.0
073_L_filler_present_coffeemug.jpg,073_L_filler_absent_coffeemug.jpg,13.877228871110882,-449.0,43.0
078_L_filler_present_faucet.jpg,078_L_filler_absent_faucet.jpg,26.184718727530473,-102.0,-190.0
07_L_filler_present_soap.jpg,07_L_filler_absent_soap.jpg,30.927677054416662,-262.0,-358.0
080_L_filler_present_plant.jpg,080_L_filler_absent_plant.jpg,30.67448489476694,-33.0,34.0
081_R_filler_present_football.jpg,081_R_filler_absent_football.jpg,16.526036498377113,44.0,-160.0
083_R_filler_present_knob.jpg,083_R_filler_absent_knob.jpg,12.334995970645954,388.0,-200.0
084_L_filler_present_light.jpg,084_L_filler_absent_light.jpg,27.67405980621926,-296.0,152.0
08_L_filler_present_bottle.jpg,08_L_filler_absent_bottle.jpg,29.736591328169585,-382.0,-84.0
09_R_filler_present_carpet.jpg,09_R_filler_absent_carpet.jpg,131.86475705267853,155.0,-303.0
